t,ωfl,ωfr,ωrl,ωrr
22.5,3.104162096894758,3.1911706387444645,3.191170638744419,3.1041620968947683
22.6,3.1088914229233167,3.1880353463478044,3.1880353463477906,3.108891422923269
22.7,3.1136364810748067,3.184509862370389,3.184509862370385,3.1136364810747983
22.8,3.118351329873983,3.180593260364235,3.1805932603641933,3.11835132987401
22.9,3.12298968766501,3.176286013336419,3.176286013336434,3.122989687664986
23.0,3.127505109598952,3.1715905390628163,3.1715905390627506,3.1275051095989364
23.1,3.13185109022996,3.1665116774265085,3.16651167742652,3.1318510902299113
23.2,3.1359810992918464,3.16105710710821,3.1610571071081517,3.1359810992918407
23.3,3.1398485572160704,3.1552377060672017,3.1552377060672168,3.1398485572160633
23.4,3.1434067560486163,3.1490678573402606,3.149067857340281,3.1434067560485874
23.5,3.146608730505859,3.142565698783452,3.1425656987834696,3.1466087305058306
23.6,3.149407082991778,3.1357533124083794,3.1357533124083767,3.14940708299178
23.7,3.151753765415114,3.128656845933249,3.128656845933261,3.151753765415093
23.8,3.153599819529297,3.1213065559958038,3.121306555995828,3.1535998195293207
23.9,3.15489507626925,3.1137367591983995,3.1137367591984235,3.1548950762692294
24.0,3.155587813160578,3.105985673710326,3.1059856737103573,3.155587813160532
24.1,3.1556243672694197,3.0980951305120517,3.098095130512056,3.155624367269435
24.2,3.1549486993847315,3.090110129564068,3.090110129564111,3.1549486993847915
24.3,3.1535019031683107,3.08207821216158,3.082078212161588,3.1535019031683005
24.4,3.1512216508659145,3.074048616489425,3.0740486164894136,3.151221650865934
24.5,3.148041564888312,3.066071178971406,3.066071178971401,3.148041564888337
24.6,3.143890502171862,3.0581949393265133,3.0581949393265475,3.1438905021718493
24.7,3.138691735702957,3.050466402401208,3.0504664024012125,3.138691735702978
24.8,3.132362015009294,3.042927404760611,3.04292740476063,3.132362015009273
24.9,3.12481048472738,3.0356125287946902,3.035612528794698,3.124810484727414
25.0,3.1159374375767004,3.0285460016365793,3.0285460016366117,3.1159374375766866
25.1,3.1056328750463447,3.0217380106257536,3.0217380106257763,3.1056328750463043
25.2,3.0937748457741434,3.015180361318797,3.0151803613187838,3.093774845774121
25.3,3.080227527608189,3.0088413982129065,3.0088413982129034,3.0802275276081614
25.4,3.0648390144168207,3.002660102491483,3.0026601024915025,3.064839014416826
25.5,3.047438762188685,2.9965392752519864,2.996539275252009,3.0474387621887256
25.6,3.027834640163262,2.9903377090198977,2.9903377090199577,3.0278346401632787
25.7,3.0058095205416726,2.9838612450579753,2.9838612450580073,3.005809520541674
25.8,2.9811173233985233,2.9768526094258037,2.976852609425851,2.9811173233985047
25.9,2.9534784099307654,2.9689799173169535,2.968979917316942,2.9534784099307663
26.0,2.9225741848466833,2.9598237336222946,2.9598237336223066,2.922574184846685
26.1,2.8880407246367445,2.9488625787650142,2.948862578764956,2.8880407246367743
26.2,2.84946118911546,2.935456773744494,2.9354567737444484,2.8494611891154427
26.3,2.8063566948224326,2.918830528347616,2.9188305283475837,2.8063566948224232
26.4,2.758175225751301,2.898052193084764,2.8980521930847187,2.7581752257512697
26.5,2.7042780243855717,2.8720126200715206,2.872012620071498,2.7042780243855766
26.6,2.643922739274954,2.8394016118105965,2.8394016118106116,2.643922739274958
26.7,2.57624240103643,2.7986824799901786,2.798682479989657,2.576242401036428
26.8,2.5282010103951817,2.776137241241754,2.7761372412417815,2.528201010395159
26.9,2.4972868961898556,2.768718666710913,2.768718666710941,2.4972868961898764
27.0,2.4812827871179794,2.773853577945102,2.7738535779451623,2.4812827871179786
27.1,2.4782397727622305,2.7893598795784094,2.7893598795784267,2.47823977276224
27.2,2.4864479330616143,2.8133824557814253,2.8133824557814737,2.4864479330615783
27.3,2.5044063543747317,2.844343815904054,2.8443438159040992,2.50440635437474
27.4,2.530794263392502,2.880906153992472,2.880906153992508,2.53079426339252
27.5,2.564444337180284,2.921942185294739,2.9219421852947196,2.5644443371802956
27.6,2.604318771720137,2.966512707092747,2.966512707092717,2.6043187717201333
27.7,2.649488353278086,3.0138493081992244,3.0138493081992386,2.6494883532780484
27.8,2.6991145367165004,3.0633410362831364,3.0633410362831857,2.6991145367165323
27.9,2.7524343652898766,3.1145241414020024,3.1145241414021174,2.7524343652898895
28.0,2.8087479491443648,3.1670742623082924,3.1670742623083004,2.808747949144263
28.1,2.8674081418080806,3.220800620680791,3.220800620680817,2.867408141808072
28.2,2.927812005892808,3.2756419452293266,3.275641945229362,2.92781200589281
28.3,2.9893936334737,3.3316639675808193,3.3316639675808206,2.989393633473705
28.4,3.0516178768195643,3.3890584170833256,3.389058417083352,3.0516178768195577
28.5,3.113974545776401,3.448143492277003,3.4481434922770466,3.1139745457762946
28.6,3.175972634914914,3.5093658004900083,3.5093658004900448,3.175972634914926
28.7,3.2371341540768626,3.5733037280281783,3.573303728028186,3.237134154076857
